Data;Close;;;;;
21.01.2026;25.27;;;;;
20.01.2026;25.6;;;;;
19.01.2026;26.6;;;;;
16.01.2026;27.17;;;;;
15.01.2026;27.63;;;;;
14.01.2026;27.71;;;;;
13.01.2026;26.71;;;;;
12.01.2026;26.23;;;;;
09.01.2026;26.07;;;;;
08.01.2026;25.79;;;;;
07.01.2026;25.95;;;;;
06.01.2026;26.36;;;;;
05.01.2026;26.65;;;;;
02.01.2026;25.67;;;;;
30.12.2025;24.89;;;;;
29.12.2025;24.81;;;;;
23.12.2025;24.79;;;;;
22.12.2025;25.38;;;;;
19.12.2025;25.2;;;;;
18.12.2025;25.01;;;;;
17.12.2025;24.43;;;;;
16.12.2025;24.79;;;;;
15.12.2025;24.56;;;;;
12.12.2025;25.54;;;;;
11.12.2025;25.39;;;;;
10.12.2025;26.38;;;;;
09.12.2025;26.85;;;;;
08.12.2025;25.84;;;;;
05.12.2025;25.44;;;;;
04.12.2025;26.52;;;;;
03.12.2025;26.46;;;;;
02.12.2025;26.02;;;;;
01.12.2025;24.27;;;;;
28.11.2025;26.27;;;;;
27.11.2025;26.22;;;;;
26.11.2025;25.22;;;;;
25.11.2025;25.07;;;;;
24.11.2025;25.19;;;;;
21.11.2025;24.08;;;;;
20.11.2025;25.55;;;;;
19.11.2025;25.85;;;;;
18.11.2025;26.96;;;;;
17.11.2025;26.91;;;;;
14.11.2025;27.9;;;;;
13.11.2025;28.98;;;;;
12.11.2025;29.34;;;;;
11.11.2025;29.76;;;;;
10.11.2025;30.32;;;;;
07.11.2025;29.16;;;;;
06.11.2025;29.28;;;;;
05.11.2025;30.08;;;;;
04.11.2025;29.76;;;;;
03.11.2025;30.78;;;;;
31.10.2025;31.76;;;;;
30.10.2025;31.17;;;;;
29.10.2025;31.82;;;;;
28.10.2025;32.94;;;;;
27.10.2025;33.08;;;;;
24.10.2025;31.68;;;;;
23.10.2025;31.65;;;;;
22.10.2025;31.05;;;;;
21.10.2025;32.51;;;;;
20.10.2025;31.87;;;;;
17.10.2025;30.27;;;;;
16.10.2025;31.46;;;;;
15.10.2025;31.82;;;;;
14.10.2025;32.19;;;;;
13.10.2025;33.01;;;;;
10.10.2025;34.13;;;;;
09.10.2025;34.95;;;;;
08.10.2025;35.19;;;;;
07.10.2025;34.88;;;;;
06.10.2025;35.73;;;;;
03.10.2025;34.62;;;;;
02.10.2025;34.11;;;;;
01.10.2025;33.46;;;;;
30.09.2025;32.22;;;;;
29.09.2025;32.47;;;;;
26.09.2025;31.21;;;;;
25.09.2025;31.83;;;;;
24.09.2025;32.36;;;;;
23.09.2025;32.03;;;;;
22.09.2025;31.97;;;;;
19.09.2025;32.94;;;;;
18.09.2025;33.3;;;;;
17.09.2025;32.64;;;;;
16.09.2025;32.53;;;;;
15.09.2025;32.55;;;;;
12.09.2025;32.84;;;;;
11.09.2025;32.62;;;;;
10.09.2025;32.47;;;;;
09.09.2025;31.7;;;;;
08.09.2025;32.08;;;;;
05.09.2025;31.54;;;;;
04.09.2025;31.42;;;;;
03.09.2025;32.11;;;;;
02.09.2025;31.82;;;;;
01.09.2025;31.07;;;;;
29.08.2025;31.03;;;;;
28.08.2025;32.32;;;;;
27.08.2025;32.18;;;;;
26.08.2025;31.52;;;;;
25.08.2025;32.19;;;;;
22.08.2025;33.35;;;;;
21.08.2025;32.54;;;;;
20.08.2025;32.71;;;;;
19.08.2025;32.7;;;;;
18.08.2025;33.17;;;;;
15.08.2025;33.52;;;;;
14.08.2025;33.94;;;;;
13.08.2025;34.46;;;;;
12.08.2025;34.35;;;;;
11.08.2025;34.72;;;;;
08.08.2025;33.32;;;;;
07.08.2025;33.53;;;;;
06.08.2025;33.15;;;;;
05.08.2025;32.63;;;;;
04.08.2025;33.23;;;;;
01.08.2025;33.22;;;;;
31.07.2025;34.57;;;;;
30.07.2025;34.49;;;;;
29.07.2025;34.1;;;;;
28.07.2025;34.09;;;;;
25.07.2025;32.96;;;;;
24.07.2025;33.78;;;;;
23.07.2025;33.78;;;;;
22.07.2025;34.02;;;;;
21.07.2025;33.93;;;;;
18.07.2025;33.89;;;;;
17.07.2025;34.32;;;;;
16.07.2025;33.97;;;;;
15.07.2025;33.59;;;;;
14.07.2025;34.43;;;;;
11.07.2025;33.64;;;;;
10.07.2025;31.95;;;;;
09.07.2025;31.18;;;;;
08.07.2025;30.99;;;;;
07.07.2025;31;;;;;
04.07.2025;30.65;;;;;
03.07.2025;31.14;;;;;
02.07.2025;30.84;;;;;
01.07.2025;30.22;;;;;
30.06.2025;30.58;;;;;
27.06.2025;30.6;;;;;
26.06.2025;30.61;;;;;
25.06.2025;30.86;;;;;
24.06.2025;30.46;;;;;
23.06.2025;29.54;;;;;
20.06.2025;30.3;;;;;
19.06.2025;30.48;;;;;
18.06.2025;30.5;;;;;
17.06.2025;30.36;;;;;
16.06.2025;31.14;;;;;
13.06.2025;30.66;;;;;
12.06.2025;31.13;;;;;
11.06.2025;32.09;;;;;
10.06.2025;31.94;;;;;
09.06.2025;31.71;;;;;
06.06.2025;30.92;;;;;
05.06.2025;30.71;;;;;
04.06.2025;31;;;;;
03.06.2025;31.49;;;;;
02.06.2025;30.65;;;;;
30.05.2025;31.26;;;;;
29.05.2025;31.74;;;;;
